id_user,user_name,user_email,user_password,user_contact,user_govid,user_role,badge,avatar,created_at,updated_at
1,Martha M. Mwangi,martyturing@gmail.com,$2b$10$eXZnzNUnfoCT6DnA3skIAu0KH7p.IBTGCl2o5X/4wztkqjR5lJ2gO,2.55E+11,35816558,1,1,profile-default.png,3/1/2022 20:59,5/7/2021 2:48
2,Carol Hassan,carol@gmail.com,$2b$10$1/PsYmU/EgGe.ynkAKWyW.APHRaUhSstS4MtHVyYx6efsqUs6bv3a,2.55E+11,741852,2,1,profile-default.png,2/16/2022 6:10,1/9/2022 2:08
3,PAUL MURIMI MURIUKI,paul@gmail.com,Apple333,722725682,22725682,1,1,profile-default.png,10/27/2021 7:58,10/2/2021 0:42
4,ABABU WANGIA ROYAL,ababu@gmail.com,Apple333,712702150,12702150,2,1,profile-default.png,10/6/2021 18:35,12/4/2021 12:52
5,Rafe Carn,rcarn0@free.fr,XqkTuDmyt,770-978-4348,3790334294,2,1,profile-default.png,8/7/2021 0:18,7/19/2021 18:19
6,Rubia Ganforthe,rganforthe1@mail.ru,UbfzxNKJMNOZ,630-218-4142,8536521090,1,1,profile-default.png,2/2/2022 21:04,6/11/2021 3:10
7,Neel Pasticznyk,npasticznyk2@arizona.edu,wmZKQ1om0FP,644-752-0932,1911475487,1,1,profile-default.png,8/26/2021 0:33,11/9/2021 11:40
8,Austen Cavolini,acavolini3@ted.com,mNYDX6P,440-730-9200,9789340168,1,1,profile-default.png,3/6/2021 22:59,3/1/2022 9:41
9,Hermann Landrick,hlandrick4@tumblr.com,yiTTzfBpuXAK,326-313-2346,1563838613,1,1,profile-default.png,5/9/2021 10:11,11/1/2021 17:08
10,Marena Jillings,mjillings5@usatoday.com,zS683Y7ciV,176-134-6153,5638553355,1,1,profile-default.png,5/2/2021 17:17,2/12/2022 14:35
11,Logan Taynton,ltaynton6@github.com,VG7yHJ1,377-460-4191,1168944082,1,1,profile-default.png,9/26/2021 13:52,5/11/2021 8:10
